Data File	C:\Users\GPC\Documents\OmniSEC Data\Salty\2023 01 Jan\2023-02-16_15;04;39_230216_SS_P-SS065_01.vdt
Sample ID	230216 SS P-SS065
Method File Name	202301JanCalibration-0011.vcm
Date Acquired	Feb 16, 2023 - 15:04:39
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	Salty
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	 0.000
Col. Temp (Deg C)	35.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 0.800	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	29.140

Ret. Vol.	 17.12
Mn - (Daltons)	 18325
Mw - (Daltons)	 28032
Mz - (Daltons)	 39177
Mp - (Daltons)	 27717
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	279.15
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted IV - DP	Adjusted IV -  IP	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
0.33667	16.236	-0.274	294.519	28.96206										
0.34000	16.282	-0.274	294.488	28.96145										
0.34333	16.236	-0.274	294.473	28.95962										
0.34667	16.221	-0.274	294.473	28.95596										
0.35000	16.221	-0.265	294.504	28.95230										
0.35333	16.160	-0.240	294.519	28.94986										
0.35667	16.083	-0.214	294.504	28.94681										
0.36000	16.099	-0.189	294.519	28.94253										
0.36333	16.037	-0.164	294.565	28.93948										
0.36667	16.022	-0.151	294.580	28.93826										
0.37000	16.022	-0.159	294.565	28.93704										
0.37333	16.007	-0.168	294.565	28.93460										
0.37667	15.976	-0.176	294.595	28.93216										
0.38000	15.992	-0.184	294.610	28.93093										
0.38333	15.931	-0.196	294.610	28.92972										
0.38667	15.931	-0.213	294.595	28.92666										
0.39000	15.915	-0.230	294.610	28.92300										
0.39333	15.900	-0.247	294.626	28.91995										
0.39667	15.854	-0.264	294.626	28.91812										
0.40000	15.885	-0.281	294.626	28.91629										
0.40333	15.870	-0.298	294.641	28.91323										
0.40667	15.854	-0.315	294.671	28.91079										
0.41000	15.824	-0.331	294.702	28.90957										
0.41333	15.870	-0.348	294.717	28.90774										
0.41667	15.839	-0.334	294.702	28.90530										
0.42000	15.824	-0.274	294.702	28.90286										
0.42333	15.824	-0.215	294.733	28.89920										
0.42667	15.793	-0.156	294.733	28.89553										
0.43000	15.748	-0.097	294.733	28.89370										
0.43333	15.748	-0.092	294.733	28.89065										
0.43667	15.732	-0.160	294.763	28.88760										
0.44000	15.687	-0.228	294.763	28.88638										
0.44333	15.702	-0.295	294.778	28.88638										
0.44667	15.732	-0.363	294.763	28.88455										
0.45000	15.717	-0.389	294.778	28.88272										
