 ,Area,Mean,StdDev,Min,Max,Angle,Length
210,17.530,154.905,11.307,138.424,190.962,86.100,27.526
211,27.269,141.847,10.137,111.167,151.667,19.486,43.034
212,17.920,141.494,14.577,104.440,178.712,26.565,27.913
213,24.542,148.853,15.952,120.880,189.720,-48.900,38.928
214,16.361,157.746,17.313,113.896,182.658,-37.999,25.345
215,25.321,147.899,11.997,116.983,191.221,26.162,39.637
216,8.181,148.182,6.136,135.617,158.433,-8.531,12.623
217,29.996,146.496,9.960,108.985,176.144,-7.595,47.225
218,44.799,134.623,13.838,88.497,151.816,-72.044,70.859
219,35.060,141.881,12.093,110.466,164.368,-10.305,55.825
220,14.024,127.178,17.893,91.541,151.667,23.629,21.800
221,21.426,140.862,14.600,96.788,157.370,-114.179,33.524
222,21.815,139.519,10.623,111.854,152.440,14.797,34.214
223,22.594,140.083,17.954,79.473,163.450,30.619,35.538
224,26.100,129.422,16.838,83.746,151.667,-75.124,41.330
225,19.088,149.186,13.034,100.302,179.031,30.343,29.652
226,19.478,152.531,9.412,133.483,175.022,-80.538,30.372
227,25.711,149.373,7.419,131.318,161.631,-87.357,40.613
228,10.908,160.337,12.180,143.461,201.194,68.199,16.806
229,28.827,146.778,11.221,116.181,171.377,60.642,45.831
230,15.582,132.553,16.723,88.625,152.005,55.491,24.237
231,17.920,119.071,20.866,73.699,151.667,-30.530,28.259
232,27.269,142.590,12.072,109.081,167.114,-17.650,43.228
233,15.582,149.536,8.534,132.029,170.893,10.437,24.117
234,17.530,154.580,7.126,138.831,173.871,-79.461,27.299
235,15.582,144.678,12.169,104.876,162.079,-66.038,24.588
236,15.972,140.238,9.777,119.297,153.667,-55.125,25.106
237,14.803,160.357,11.303,138.215,194.466,55.008,22.856
238,23.373,154.680,6.973,129.003,166.010,47.726,37.114
239,15.582,136.794,14.040,93.316,152.327,55.491,24.237
240,24.152,144.442,13.127,107.435,174.051,66.801,38.027
241,22.984,150.041,8.682,131.859,173.339,-74.055,36.351
242,18.309,145.180,13.084,114.420,189.638,85.030,28.819
243,22.984,143.843,10.992,107.521,157.792,-14.036,36.028
244,20.646,152.757,7.557,130.022,174.780,-76.759,32.701
245,21.426,135.346,14.903,103.633,169.909,-40.486,33.646
