Molecular weight (g/mol),WF / dLog MW
"210608_P-SS073, Injection 1","210608_P-SS073, Injection 1"
2713631232,0.001667785
2703027200,0.001688631
2692452864,0.001709719
2681908224,0.001730087
2671387136,0.001752673
2660901632,0.001775498
2650451200,0.001797724
2640030464,0.001821148
2629644800,0.001842868
2619282688,0.00186588
2608950016,0.001891267
2598658048,0.001913851
2588389632,0.001939916
2578161920,0.001962008
2567952128,0.001988656
2557782528,0.002014647
2547647744,0.002038701
2537536256,0.002066519
2527465216,0.002092273
2517422848,0.002118435
2507409408,0.002147217
2497435648,0.002172925
2487485440,0.002202488
2477574656,0.002230037
2467692544,0.00225797
2457839360,0.002288623
2448025088,0.002317276
2438239488,0.002348858
2428493056,0.002376938
2418769664,0.002407934
2409079808,0.002442114
2399434240,0.00247122
2389811200,0.002504919
2380227072,0.002534881
2370665728,0.002569321
2361142528,0.002604321
2351657728,0.00263696
2342200832,0.002671313
2332776704,0.002706265
2323385600,0.002740111
2314021888,0.002780486
2304706304,0.002812199
2295407872,0.002853546
2286157056,0.002887698
2276928512,0.002925419
2267732224,0.002966894
2258578176,0.003002351
2249446144,0.003046459
2240360704,0.003083079
2231297536,0.00312324
2222265856,0.003167567
2213275904,0.003207181
2204312576,0.003252541
2195390208,0.0032933
2186494464,0.003336325
2177629952,0.003385474
2168811008,0.003425955
2160013312,0.003474549
2151256320,0.003517934
2142525184,0.003565885
2133829632,0.003614371
2125169280,0.003661693
2116539520,0.003713437
2107949312,0.003759987
2099384832,0.003811237
2090855168,0.003863073
2082360064,0.003913583
2073895040,0.003969021
2065468928,0.004020847
2057072512,0.004073316
2048705664,0.004131034
2040377344,0.004185071
2032078464,0.004244359
2023817856,0.004299768
2015586304,0.004355943
2007383808,0.004420025
1999223552,0.00447543
1991087744,0.004541168
1982993664,0.004598057
1974923776,0.004663168
1966891136,0.004726632
1958891136,0.004788443
1950919424,0.004856284
1942984448,0.004922239
1935081600,0.004989388
1927211008,0.005059964
1919376640,0.005126142
1911569920,0.00519589
1903794944,0.005269495
1896055808,0.005341171
1888348032,0.005416763
1880675712,0.005487637
1873030528,0.005565355
1865420544,0.005641093
1857841408,0.005720945
1850297088,0.005798837
1842783488,0.00587773
1835300352,0.005961059
1827851648,0.006042224
1820433280,0.006127683
1813048832,0.006211104
1805694336,0.006295728
1798369792,0.006388307
1791082752,0.006475335
1783825280,0.006563412
1776597120,0.006660009
1769406080,0.00674706
1762240384,0.006842501
1755107456,0.0069394
1748007168,0.00703779
1740939520,0.007137447
1733904256,0.00723058
1726893568,0.007341124
1719922688,0.007436871
1712976128,0.007546287
1706065024,0.007653275
1699185664,0.007753109
1692330240,0.007871472
1685513600,0.00797863
1678724352,0.008091704
1671966208,0.008206302
1665238912,0.008327011
1658545920,0.00843599
1651876352,0.008564588
1645244288,0.008681142
1638638848,0.008804309
1632063616,0.008933854
1625521792,0.009055614
1619006336,0.009188864
1612524032,0.009313856
1606067584,0.00945096
1599644032,0.009590286
1593253248,0.009720687
1586887936,0.009863906
1580555008,0.010003672
1574250880,0.010145467
1567975296,0.010300209
1561734912,0.010440796
1555519488,0.010588804
1549332224,0.010744334
1543176192,0.010897077
1537048192,0.0110634
1530954496,0.011214159
1524884992,0.011379291
1518846208,0.011540486
1512834560,0.011710845
1506853504,0.011883202
1500902528,0.012051647
1494978432,0.012222449
1489080960,0.012409605
1483216512,0.012585477
1477378432,0.012771103
1471569792,0.01295215
1465787264,0.013150306
1460036992,0.013336842
1454312448,0.013526107
1448613632,0.013732918
1442946560,0.013935558
1437308032,0.014133357
1431694720,0.014341627
1426109440,0.014553514
1420552320,0.014768099
1415023104,0.014985431
1409521408,0.015207277
1404047488,0.015431304
1398600832,0.015650155
1393178368,0.015890362
1387786112,0.01611599
1382417792,0.016363088
1377079296,0.016595023
1371764352,0.016839959
1366475904,0.017088993
1361213952,0.01734099
1355978112,0.017586952
1350765440,0.017857041
