Molecular weight (g/mol),WF / dLog MW
"210608_P-SS065, Injection 1","210608_P-SS065, Injection 1"
279728.5625,0.030807553
279036.2188,0.031228742
278345.9063,0.031640712
277657.3125,0.032086611
276971,0.032510128
276286.4063,0.032968685
275604.0938,0.03340555
274923.5,0.033874184
274245.1563,0.034323364
273568.5,0.034805443
272894.0938,0.035250202
272221.0625,0.03576402
271550.5938,0.03621975
270881.4688,0.03673042
270214.5938,0.037232935
269549.6563,0.037740983
268886.6563,0.038239066
268225.2813,0.038760543
267565.8125,0.039291348
266908.2813,0.039826177
266252.625,0.040354099
265598.625,0.040921856
264946.7813,0.041461341
264296.5313,0.042028509
263648.1875,0.042584281
263001.4375,0.043184634
262356.8438,0.043752719
261713.8125,0.044352375
261072.6563,0.04493783
260433.0781,0.045571834
259795.625,0.046173587
259159.75,0.046803471
258525.7031,0.047421504
257893.2031,0.048068639
257262.5313,0.048726585
256633.7031,0.049368519
256006.3906,0.050043385
255380.9063,0.050727129
254757.2188,0.051397812
254135.0625,0.05209925
253514.7031,0.052784573
252895.8438,0.053532634
252279.0625,0.0542139
251663.5156,0.054953516
251049.7344,0.055705801
250437.7344,0.056440625
249827.2188,0.057211213
249218.4688,0.05796656
248611.2031,0.058758803
248005.6875,0.059560321
247401.9063,0.06032199
246799.3438,0.061172727
246198.7813,0.061951127
245599.4063,0.061476864
245002.0313,0.062633887
244405.8438,0.063873693
243811.6406,0.064911895
243218.625,0.065799512
242627.2969,0.066599622
242037.4219,0.067460746
241449.5156,0.06827081
240862.7656,0.069061801
240277.4375,0.069989897
239693.7969,0.070955999
239111.8438,0.071751416
238531.0313,0.072680861
237951.8906,0.073649451
237374.1563,0.074708365
236798.3594,0.075711198
236223.4219,0.077060401
235650.4063,0.078332961
235078.5313,0.079672128
234508.2813,0.081004456
233939.4375,0.08237388
233372.2188,0.083770901
232806.1094,0.085117862
232241.6406,0.086355053
231678.5469,0.087695099
231117.0625,0.088926055
230556.6875,0.090077206
229997.9219,0.091038547
229440.5,0.092112824
228884.4531,0.093127914
228329.7344,0.094240606
227776.6094,0.095394611
227224.5938,0.096644364
226674.1406,0.09794084
226124.7969,0.099364996
225577.2656,0.10057462
225030.5625,0.101892091
224485.6875,0.103199579
223941.8906,0.104622938
223399.3906,0.106112093
222858.4688,0.107623965
222318.6094,0.109185115
221780.0469,0.110908709
221243.0313,0.112524986
220707.3281,0.114077508
220172.6719,0.115681536
219639.5625,0.117303982
219107.7344,0.118883952
218576.9531,0.120284967
218047.7031,0.121582963
217519.5,0.122984283
216992.5625,0.124453411
216467.1563,0.125765607
215942.7656,0.12713781
215419.6563,0.128738701
214898.0469,0.130178615
214377.2344,0.131838083
213858.1563,0.133118004
213339.8594,0.1345689
212823.0469,0.135852754
212307.2656,0.137444377
211792.9531,0.139106408
211279.6719,0.140918538
210767.625,0.142837748
210256.8125,0.144797757
209747.25,0.146672249
209238.6875,0.148644939
208731.5938,0.150527492
208225.5,0.152633145
207720.625,0.154641256
207216.75,0.156585261
206714.3125,0.158320844
206212.8906,0.160151839
205712.6719,0.161870316
205213.4375,0.163720086
204715.6406,0.165506974
204218.6094,0.167552158
203723,0.169541731
203228.375,0.171586245
202734.9531,0.173520669
202242.7344,0.175239056
201751.4844,0.177207172
201261.4219,0.179337919
200772.5469,0.181409553
200284.6563,0.183742255
199797.9375,0.186069518
199312.1875,0.188566178
198827.6094,0.190932706
198344.2188,0.193220735
197861.7813,0.195520073
197380.5313,0.197767392
196900.2188,0.200036749
196421.0781,0.202207282
195942.8906,0.204536229
195465.875,0.206632093
194989.7969,0.208818778
194514.875,0.211000085
194040.9063,0.213442907
193568.0938,0.215843469
193096.2188,0.21843788
192625.4844,0.220924422
192155.6875,0.223444954
191686.8438,0.226151824
191219.3438,0.228701755
190752.5625,0.23145251
190286.9219,0.234214157
189822.2031,0.237158909
189358.625,0.240059242
188895.7656,0.243114129
188434.25,0.245824426
187973.4375,0.24888061
187513.9688,0.251527101
187055.2031,0.254349917
186597.5625,0.257007837
186140.6406,0.260026604
185685.0313,0.262766182
185230.1406,0.265708148
184776.5469,0.268169254
184323.4844,0.271156162
183871.7188,0.274003178
183420.6563,0.277226299
182970.9063,0.280026108
182521.6563,0.283438265
182073.7031,0.286427379
181626.4531,0.289718896
181180.3125,0.292988837
180735.0625,0.296228051
180290.7031,0.299654007
179847.25,0.303362548
179404.875,0.306903243
178963.2031,0.310636103
178522.625,0.314290375
178082.9219,0.317854881
177644.1094,0.321381956
177206.1875,0.325016141
176769.1563,0.32870242
176333.1875,0.332196832
175897.9219,0.336005777
175463.7344,0.339386821
175030.2188,0.343136102
174597.9688,0.346518666
174166.4219,0.350462556
173736.1094,0.354084074
173306.4844,0.358095169
172877.9375,0.361887753
172450.25,0.365861654
172023.6094,0.369788557
171597.8594,0.373820037
171173.1406,0.377918601
170749.4844,0.381916583
170326.6875,0.386252791
169904.9375,0.390649617
169484.2344,0.395042449
169064.3906,0.399882019
168645.7656,0.404502779
168228,0.409613758
167811.4375,0.414187789
167395.5469,0.419462532
166981.0625,0.424282223
166567.4063,0.429289252
166154.7969,0.434219241
165743.1875,0.439278215
165332.7969,0.443823785
164923.2188,0.449120045
164515.0313,0.453801662
164107.6719,0.458843827
163701.3281,0.464101732
163296.1563,0.46906364
162892,0.474191129
162489.0156,0.479089975
162087.0313,0.483979076
161686.0469,0.489318669
161286.3906,0.494162142
160887.5625,0.499530584
160489.8906,0.505003691
160093.375,0.510697961
159698.0156,0.516416192
159303.6406,0.522499621
158910.4063,0.528713822
158518.3125,0.535217822
158127.3594,0.541590333
157737.375,0.548636496
157348.7031,0.555298686
156960.9844,0.56246376
156574.5625,0.569169581
156189.0938,0.576288104
155804.9219,0.583229899
155421.8594,0.590369284
155039.9063,0.597519755
154659.0781,0.604651749
154279.3438,0.612007916
153900.875,0.618968248
153523.5,0.625823081
153147.2344,0.633044839
152772.2031,0.639780581
152398.1094,0.647324562
152025.4219,0.654545009
151653.8281,0.662071109
151283.4531,0.669238389
150914,0.677220464
150545.9375,0.684795439
150178.9375,0.693073332
149813.3281,0.700541615
149448.6094,0.709147453
149085.2656,0.717248797
148722.9688,0.726128995
148362.0469,0.73438859
148002.1563,0.742866278
147643.4688,0.75141871
147285.9688,0.760034263
146929.6719,0.768711507
146574.5469,0.777943134
146220.75,0.786455452
145867.9844,0.795238018
145516.3906,0.804452062
145166.1094,0.813360035
144817,0.822335958
144469.0313,0.83186841
144122.3906,0.840587854
143776.7344,0.85071075
143432.5313,0.859824359
143089.3281,0.869718611
142747.3906,0.879760206
142406.75,0.889638543
142067.25,0.899860919
141729,0.910040021
141391.8906,0.920756578
141056.0313,0.931656003
140721.4375,0.942519486
140388.0938,0.953103662
140055.8594,0.964150131
139724.8594,0.975212395
139395.1094,0.986492455
139066.5938,0.997761607
138739.3125,1.009015918
138413.25,1.020311713
138088.4063,1.031150222
137764.6406,1.043494344
137442.375,1.054114699
137121.0156,1.066769958
136801.1719,1.077857614
136482.3594,1.090187669
136164.8906,1.102181435
135848.6094,1.11413157
135533.5156,1.126792669
135219.7344,1.139088511
134907.1406,1.151456118
134595.7031,1.165132046
134285.7188,1.177212596
133976.75,1.190482736
133669.0625,1.20385468
133362.6875,1.21662128
133057.4375,1.230172634
132753.4844,1.243676543
132450.7969,1.256637573
132149.2344,1.271029234
131849.0938,1.28353107
131549.9063,1.298495054
131252.2813,1.310859919
130955.6016,1.325314641
130660.3125,1.339387059
130366.2656,1.353439093
130073.4531,1.366890788
129781.7266,1.382578492
129491.5,1.395880699
129202.2109,1.411852717
128914.4219,1.425942063
128627.6875,1.441600919
128342.3047,1.456651449
128058.1094,1.472633362
127775.25,1.487258554
127493.4375,1.504178047
127213.0781,1.519079447
126933.7578,1.535597444
126655.7422,1.552169561
126379.0313,1.568007112
